Price_USD_per_MWh,Quantity_MW,Hour,Day,Point,maxSOC_MWh,Hybrid_Name
1000,0.1000000001,23,5,2,240.0,HYB_DA_RT_C2
999.9,1e-10,0,6,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,0,6,2,240.0,HYB_DA_RT_C2
999.9,1e-10,1,6,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,1,6,2,240.0,HYB_DA_RT_C2
999.9,1e-10,2,6,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,2,6,2,240.0,HYB_DA_RT_C2
999.9,1e-10,3,6,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,3,6,2,240.0,HYB_DA_RT_C2
999.9,1e-10,4,6,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,4,6,2,240.0,HYB_DA_RT_C2
999.9,1e-10,5,6,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,5,6,2,240.0,HYB_DA_RT_C2
999.9,1e-10,6,6,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,6,6,2,240.0,HYB_DA_RT_C2
999.9,1e-10,7,6,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,7,6,2,240.0,HYB_DA_RT_C2
999.9,1e-10,8,6,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,8,6,2,240.0,HYB_DA_RT_C2
999.9,1e-10,9,6,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,9,6,2,240.0,HYB_DA_RT_C2
999.9,1e-10,10,6,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,10,6,2,240.0,HYB_DA_RT_C2
999.9,1e-10,11,6,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,11,6,2,240.0,HYB_DA_RT_C2
999.9,1e-10,12,6,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,12,6,2,240.0,HYB_DA_RT_C2
999.9,1e-10,13,6,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,13,6,2,240.0,HYB_DA_RT_C2
999.9,1e-10,14,6,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,14,6,2,240.0,HYB_DA_RT_C2
999.9,1e-10,15,6,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,15,6,2,240.0,HYB_DA_RT_C2
0.3712302653217674,-60.0,16.0,6,-1,240.0,HYB_DA_RT_C2
999.9,1e-10,16,6,1,240.0,HYB_DA_RT_C2
1000.0,1e-10,16.0,6,2,240.0,HYB_DA_RT_C2
0.4567148459640944,-47.463685,17.0,6,-1,240.0,HYB_DA_RT_C2
999.9,1e-10,17,6,1,240.0,HYB_DA_RT_C2
1000.0,1e-10,17.0,6,2,240.0,HYB_DA_RT_C2
999.9,1e-10,18,6,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,18,6,2,240.0,HYB_DA_RT_C2
999.9,1e-10,19,6,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,19,6,2,240.0,HYB_DA_RT_C2
0.9864739891268772,-47.549356708333335,20.0,6,-1,240.0,HYB_DA_RT_C2
999.9,1e-10,20,6,1,240.0,HYB_DA_RT_C2
1000.0,1e-10,20.0,6,2,240.0,HYB_DA_RT_C2
999.9,1e-10,21,6,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,21,6,2,240.0,HYB_DA_RT_C2
999.9,1e-10,22,6,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,22,6,2,240.0,HYB_DA_RT_C2
999.9,1e-10,23,6,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,23,6,2,240.0,HYB_DA_RT_C2
999.9,1e-10,0,7,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,0,7,2,240.0,HYB_DA_RT_C2
999.9,1e-10,1,7,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,1,7,2,240.0,HYB_DA_RT_C2
999.9,1e-10,2,7,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,2,7,2,240.0,HYB_DA_RT_C2
999.9,1e-10,3,7,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,3,7,2,240.0,HYB_DA_RT_C2
999.9,1e-10,4,7,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,4,7,2,240.0,HYB_DA_RT_C2
999.9,1e-10,5,7,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,5,7,2,240.0,HYB_DA_RT_C2
999.9,1e-10,6,7,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,6,7,2,240.0,HYB_DA_RT_C2
999.9,1e-10,7,7,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,7,7,2,240.0,HYB_DA_RT_C2
999.9,1e-10,8,7,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,8,7,2,240.0,HYB_DA_RT_C2
999.9,1e-10,9,7,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,9,7,2,240.0,HYB_DA_RT_C2
999.9,1e-10,10,7,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,10,7,2,240.0,HYB_DA_RT_C2
999.9,1e-10,11,7,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,11,7,2,240.0,HYB_DA_RT_C2
999.9,1e-10,12,7,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,12,7,2,240.0,HYB_DA_RT_C2
999.9,1e-10,13,7,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,13,7,2,240.0,HYB_DA_RT_C2
999.9,1e-10,14,7,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,14,7,2,240.0,HYB_DA_RT_C2
999.9,1e-10,15,7,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,15,7,2,240.0,HYB_DA_RT_C2
0.3712302653217674,-60.0,16.0,7,-1,240.0,HYB_DA_RT_C2
999.9,1e-10,16,7,1,240.0,HYB_DA_RT_C2
1000.0,1e-10,16.0,7,2,240.0,HYB_DA_RT_C2
0.4567148459640944,-47.463685,17.0,7,-1,240.0,HYB_DA_RT_C2
999.9,1e-10,17,7,1,240.0,HYB_DA_RT_C2
1000.0,1e-10,17.0,7,2,240.0,HYB_DA_RT_C2
999.9,1e-10,18,7,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,18,7,2,240.0,HYB_DA_RT_C2
999.9,1e-10,19,7,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,19,7,2,240.0,HYB_DA_RT_C2
0.9864739891268772,-47.549356708333335,20.0,7,-1,240.0,HYB_DA_RT_C2
999.9,1e-10,20,7,1,240.0,HYB_DA_RT_C2
1000.0,1e-10,20.0,7,2,240.0,HYB_DA_RT_C2
999.9,1e-10,21,7,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,21,7,2,240.0,HYB_DA_RT_C2
999.9,1e-10,22,7,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,22,7,2,240.0,HYB_DA_RT_C2
999.9,1e-10,23,7,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,23,7,2,240.0,HYB_DA_RT_C2
999.9,1e-10,0,8,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,0,8,2,240.0,HYB_DA_RT_C2
999.9,1e-10,1,8,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,1,8,2,240.0,HYB_DA_RT_C2
999.9,1e-10,2,8,1,240.0,HYB_DA_RT_C2
